		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	Hum		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	2nd	ET 	Samp	Tx 	Recept	Int.
06/06/16	15:10	11.2	11.6	11.2	68	5.5	1.3	SW	0.80	4.0	SW	11.1	10.8	10.7	---	764.3	0.00	0.0	353	5.06	376	1.0	0.07	1.1	0.050	0.000	11.9	81	8.7	11.7	---	0.00	235	1	100.0	10
06/06/16	15:20	10.9	11.2	10.9	69	5.5	0.9	SSW	0.54	2.2	SW	10.9	10.6	10.6	---	764.4	0.00	0.0	305	4.37	424	0.8	0.06	1.1	0.051	0.000	11.8	81	8.6	11.6	---	0.00	234	1	100.0	10
06/06/16	15:30	11.0	11.0	10.9	72	6.1	0.9	SE	0.54	4.9	SE	11.0	10.7	10.7	---	764.4	0.00	0.0	354	5.07	390	0.8	0.06	0.9	0.051	0.000	11.7	81	8.6	11.6	---	0.00	233	1	100.0	10
06/06/16	15:40	10.7	11.1	10.7	71	5.7	1.3	SE	0.80	4.9	ESE	10.6	10.4	10.3	---	764.4	0.00	0.0	270	3.87	357	0.5	0.04	0.8	0.053	0.000	11.6	81	8.5	11.5	---	0.00	234	1	100.0	10
06/06/16	15:50	10.8	10.8	10.7	68	5.1	1.3	S	0.80	2.7	WSW	10.7	10.4	10.3	---	764.2	0.00	0.0	305	4.37	327	0.4	0.03	0.6	0.052	0.000	11.6	81	8.4	11.4	---	0.00	234	1	100.0	10
06/06/16	16:00	10.9	10.9	10.8	68	5.2	0.9	SW	0.54	3.1	SW	10.9	10.6	10.6	---	764.2	0.00	0.0	269	3.86	290	0.1	0.01	0.5	0.052	0.000	11.5	81	8.4	11.4	---	0.15	232	1	100.0	10
06/06/16	16:10	10.7	10.9	10.7	68	5.1	1.3	SW	0.80	3.6	SSW	10.6	10.4	10.3	---	764.0	0.00	0.0	223	3.20	239	0.0	0.00	0.0	0.053	0.000	11.4	80	8.1	11.3	---	0.00	234	1	100.0	10
06/06/16	16:20	10.4	10.7	10.4	70	5.2	1.3	SSW	0.80	4.9	ESE	10.3	10.2	10.1	---	764.1	0.00	0.0	197	2.82	220	0.0	0.00	0.0	0.055	0.000	11.2	80	7.9	11.1	---	0.00	233	1	100.0	10
06/06/16	16:30	10.3	10.5	10.3	69	4.8	1.3	SW	0.80	4.5	S	10.2	10.0	9.9	---	764.1	0.00	0.0	164	2.35	186	0.0	0.00	0.0	0.056	0.000	11.2	81	8.0	11.1	---	0.00	233	1	100.0	10
06/06/16	16:40	10.2	10.3	10.2	70	5.0	0.4	SW	0.27	2.7	S	10.2	10.0	10.0	---	764.1	0.00	0.0	122	1.75	155	0.0	0.00	0.0	0.056	0.000	11.0	81	7.9	10.9	---	0.00	234	1	100.0	10
06/06/16	16:50	10.2	10.2	10.1	70	4.9	0.4	SSW	0.27	3.1	SSE	10.2	9.9	9.9	---	764.2	0.00	0.0	97	1.39	113	0.0	0.00	0.0	0.057	0.000	10.8	81	7.7	10.8	---	0.00	234	1	100.0	10
06/06/16	17:00	9.8	10.2	9.8	71	4.8	0.9	SW	0.54	3.6	SSW	9.8	9.6	9.6	---	764.2	0.00	0.0	65	0.93	79	0.0	0.00	0.0	0.059	0.000	10.7	81	7.5	10.6	---	0.08	233	1	100.0	10
06/06/16	17:10	9.5	9.9	9.5	73	4.9	0.9	SW	0.54	3.6	S	9.5	9.3	9.3	---	764.2	0.00	0.0	39	0.56	49	0.0	0.00	0.0	0.061	0.000	10.4	82	7.4	10.4	---	0.00	232	1	100.0	10
06/06/16	17:20	9.0	9.5	9.0	74	4.6	0.9	SW	0.54	2.7	SW	9.0	8.8	8.8	---	764.2	0.00	0.0	20	0.29	28	0.0	0.00	0.0	0.065	0.000	10.2	82	7.2	10.2	---	0.00	234	1	100.0	10
06/06/16	17:30	8.2	8.9	8.2	76	4.2	0.9	SW	0.54	2.7	SW	8.2	8.0	8.0	---	764.4	0.00	0.0	11	0.16	12	0.0	0.00	0.0	0.071	0.000	10.0	82	7.1	10.0	---	0.00	234	1	100.0	10
06/06/16	17:40	7.6	8.2	7.6	78	4.0	1.3	SW	0.80	2.2	SW	7.1	7.4	6.9	---	764.4	0.00	0.0	6	0.09	9	0.0	0.00	0.0	0.075	0.000	9.7	82	6.7	9.7	---	0.00	234	1	100.0	10
06/06/16	17:50	7.2	7.6	7.2	79	3.8	1.3	SW	0.80	2.2	SW	6.7	7.1	6.6	---	764.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.077	0.000	9.4	82	6.5	9.4	---	0.00	233	1	100.0	10
06/06/16	18:00	7.0	7.2	7.0	80	3.8	0.9	SW	0.54	2.2	SW	7.0	6.9	6.9	---	764.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.079	0.000	9.1	81	6.0	9.1	---	0.03	234	1	100.0	10
06/06/16	18:10	6.8	7.0	6.8	81	3.8	0.4	SW	0.27	1.8	S	6.8	6.7	6.7	---	764.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.080	0.000	8.8	82	5.9	8.8	---	0.00	233	1	100.0	10
06/06/16	18:20	6.6	6.8	6.6	81	3.6	0.9	SW	0.54	1.8	SW	6.6	6.5	6.5	---	764.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.081	0.000	8.6	82	5.7	8.6	---	0.00	234	1	100.0	10
06/06/16	18:30	6.6	6.6	6.5	81	3.5	0.4	SSW	0.27	1.8	SE	6.6	6.4	6.4	---	764.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.082	0.000	8.4	83	5.7	8.4	---	0.00	235	1	100.0	10
06/06/16	18:40	6.6	6.6	6.5	81	3.6	0.9	SW	0.54	2.2	SW	6.6	6.5	6.5	---	764.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.081	0.000	8.3	83	5.6	8.2	---	0.00	234	1	100.0	10
06/06/16	18:50	6.7	6.7	6.6	81	3.6	0.9	SW	0.54	2.7	SW	6.7	6.6	6.6	---	764.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.081	0.000	8.1	83	5.4	8.1	---	0.00	233	1	100.0	10
06/06/16	19:00	6.6	6.7	6.6	82	3.7	0.9	SW	0.54	2.2	SW	6.6	6.4	6.4	---	764.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.082	0.000	7.9	83	5.2	7.9	---	0.03	233	1	100.0	10
06/06/16	19:10	6.7	6.7	6.6	82	3.8	1.3	SW	0.80	2.7	SW	6.1	6.6	5.9	---	765.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.081	0.000	7.8	84	5.3	7.8	---	0.00	234	1	100.0	10
06/06/16	19:20	6.6	6.7	6.6	82	3.8	1.3	SW	0.80	2.2	SW	6.0	6.5	5.9	---	765.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.081	0.000	7.8	84	5.3	7.8	---	0.00	232	1	100.0	10
06/06/16	19:30	6.6	6.6	6.6	83	3.9	1.3	SW	0.80	2.7	WSW	5.9	6.5	5.9	---	765.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.082	0.000	7.8	84	5.2	7.8	---	0.00	234	1	100.0	10
06/06/16	19:40	6.6	6.6	6.6	83	3.9	1.3	SW	0.80	2.7	SSW	6.0	6.6	5.9	---	765.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.081	0.000	7.8	85	5.4	7.8	---	0.00	235	1	100.0	10
06/06/16	19:50	6.7	6.7	6.6	83	4.0	1.3	SW	0.80	2.7	SW	6.1	6.7	6.1	---	765.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.081	0.000	7.8	85	5.4	7.8	---	0.00	234	1	100.0	10
06/06/16	20:00	6.8	6.8	6.7	83	4.1	1.3	SW	0.80	2.7	SW	6.2	6.7	6.1	---	765.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.080	0.000	7.8	85	5.5	7.8	---	0.03	233	1	100.0	10
06/06/16	20:10	6.8	6.8	6.8	83	4.1	1.3	SW	0.80	2.7	WSW	6.2	6.7	6.1	---	765.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.080	0.000	7.9	85	5.6	7.9	---	0.00	234	1	100.0	10
06/06/16	20:20	6.7	6.8	6.7	84	4.2	1.3	SW	0.80	2.7	SW	6.1	6.7	6.1	---	765.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.081	0.000	7.9	85	5.6	7.9	---	0.00	234	1	100.0	10
06/06/16	20:30	6.8	6.8	6.7	84	4.3	1.3	SW	0.80	2.7	SW	6.2	6.8	6.2	---	765.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.080	0.000	7.9	86	5.7	7.9	---	0.00	233	1	100.0	10
06/06/16	20:40	6.9	6.9	6.8	84	4.4	0.9	SW	0.54	2.7	SSW	6.9	6.8	6.8	---	765.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.079	0.000	7.9	86	5.7	7.9	---	0.00	234	1	100.0	10
06/06/16	20:50	6.9	6.9	6.9	84	4.4	0.9	SSW	0.54	2.7	SW	6.9	6.9	6.9	---	765.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.079	0.000	8.0	86	5.8	8.0	---	0.00	235	1	100.0	10
06/06/16	21:00	7.0	7.0	6.9	84	4.5	0.9	SW	0.54	2.2	WSW	7.0	6.9	6.9	---	765.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.079	0.000	8.0	86	5.8	8.0	---	0.03	234	1	100.0	10
06/06/16	21:10	7.0	7.1	7.0	84	4.5	0.9	SW	0.54	2.2	SSW	7.0	6.9	6.9	---	765.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.079	0.000	8.0	86	5.8	8.0	---	0.00	234	1	100.0	10
06/06/16	21:20	7.1	7.1	7.0	84	4.5	0.9	SW	0.54	3.1	SW	7.1	7.0	7.0	---	765.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.078	0.000	8.1	86	5.9	8.1	---	0.00	233	1	100.0	10
06/06/16	21:30	7.2	7.2	7.1	84	4.6	0.9	WSW	0.54	3.1	S	7.2	7.1	7.1	---	765.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.078	0.000	8.1	86	5.9	8.1	---	0.00	233	1	100.0	10
06/06/16	21:40	7.2	7.2	7.2	84	4.6	1.3	SW	0.80	3.1	S	6.6	7.1	6.6	---	765.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.078	0.000	8.1	86	5.9	8.1	---	0.00	233	1	100.0	10
06/06/16	21:50	7.2	7.2	7.2	84	4.6	0.9	SW	0.54	3.1	SSE	7.2	7.1	7.1	---	765.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.078	0.000	8.1	86	5.9	8.1	---	0.00	233	1	100.0	10
06/06/16	22:00	7.2	7.2	7.2	84	4.6	0.9	SW	0.54	2.2	SSE	7.2	7.1	7.1	---	765.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.078	0.000	8.1	86	5.9	8.1	---	0.03	235	1	100.0	10
06/06/16	22:10	7.2	7.2	7.2	84	4.6	0.9	SW	0.54	3.1	SSW	7.2	7.1	7.1	---	765.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.078	0.000	8.1	87	6.1	8.2	---	0.00	234	1	100.0	10
06/06/16	22:20	7.2	7.2	7.2	84	4.6	1.3	SSW	0.80	3.6	SSE	6.6	7.1	6.6	---	765.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.078	0.000	8.1	87	6.1	8.2	---	0.00	233	1	100.0	10
06/06/16	22:30	7.1	7.2	7.1	84	4.5	0.9	SW	0.54	2.7	SW	7.1	7.0	7.0	---	765.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.078	0.000	8.1	86	5.9	8.1	---	0.00	233	1	100.0	10
06/06/16	22:40	6.9	7.1	6.9	84	4.4	0.9	SW	0.54	3.6	SW	6.9	6.9	6.9	---	765.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.079	0.000	7.9	86	5.7	7.9	---	0.00	234	1	100.0	10
06/06/16	22:50	6.8	6.9	6.8	84	4.3	1.3	SW	0.80	2.7	S	6.2	6.7	6.1	---	765.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.080	0.000	7.8	86	5.6	7.8	---	0.00	234	1	100.0	10
06/06/16	23:00	6.7	6.8	6.7	84	4.2	1.8	WSW	1.07	3.6	SW	5.5	6.6	5.4	---	765.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.081	0.000	7.6	86	5.4	7.6	---	0.03	234	1	100.0	10
06/06/16	23:10	6.5	6.7	6.5	85	4.2	1.8	SW	1.07	3.1	SW	5.3	6.4	5.3	---	765.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.082	0.000	7.4	86	5.3	7.4	---	0.00	233	1	100.0	10
06/06/16	23:20	6.4	6.5	6.4	85	4.1	2.2	SW	1.34	4.0	WSW	4.8	6.4	4.8	---	765.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.083	0.000	7.4	86	5.2	7.4	---	0.00	233	1	100.0	10
06/06/16	23:30	6.3	6.4	6.3	86	4.1	2.2	SW	1.34	3.6	WSW	4.7	6.2	4.6	---	765.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.084	0.000	7.2	86	5.0	7.2	---	0.00	234	1	100.0	10
06/06/16	23:40	6.2	6.3	6.2	86	4.0	2.2	SW	1.34	4.0	SW	4.5	6.1	4.4	---	765.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.084	0.000	7.1	86	4.9	7.1	---	0.00	234	1	100.0	10
06/06/16	23:50	6.0	6.2	5.9	87	4.0	1.8	SW	1.07	4.0	SW	4.8	5.9	4.7	---	765.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.086	0.000	6.9	86	4.8	6.9	---	0.00	231	1	100.0	10
07/06/16	00:00	6.0	6.0	5.9	87	4.0	1.8	SW	1.07	4.0	SSW	4.8	5.9	4.7	---	765.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.086	0.000	6.9	86	4.7	6.8	---	0.03	233	1	100.0	10
07/06/16	0:10	6.0	6.1	6.0	87	4.0	2.2	SW	1.34	4.9	WSW	4.3	5.9	4.3	---	765.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.086	0.000	6.8	86	4.6	6.7	---	0.00	232	1	100.0	10
07/06/16	0:20	5.9	6.0	5.8	88	4.1	1.8	SW	1.07	3.6	WSW	4.6	5.8	4.6	---	765.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.086	0.000	6.7	86	4.5	6.7	---	0.00	234	1	100.0	10
07/06/16	0:30	5.8	5.9	5.8	89	4.1	1.3	SW	0.80	3.6	SSW	5.1	5.8	5.1	---	765.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.087	0.000	6.7	86	4.5	6.7	---	0.00	234	1	100.0	10
07/06/16	0:40	5.6	5.8	5.6	89	3.9	0.9	S	0.54	3.6	SE	5.6	5.6	5.6	---	765.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.089	0.000	6.7	87	4.7	6.7	---	0.00	234	1	100.0	10
07/06/16	0:50	5.6	5.6	5.5	89	3.9	1.8	SW	1.07	4.9	S	4.2	5.6	4.2	---	765.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.089	0.000	6.6	87	4.5	6.6	---	0.00	233	1	100.0	10
07/06/16	1:00	5.6	5.6	5.6	89	3.9	2.2	SW	1.34	4.5	SW	3.8	5.6	3.8	---	765.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.088	0.000	6.6	87	4.5	6.6	---	0.00	233	1	100.0	10
07/06/16	1:10	5.7	5.7	5.6	89	4.0	2.7	SW	1.61	5.8	WSW	3.6	5.7	3.6	---	764.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.088	0.000	6.5	87	4.5	6.5	---	0.00	231	1	100.0	10
07/06/16	1:20	5.6	5.7	5.6	89	3.9	3.6	SW	2.15	6.3	WSW	2.8	5.6	2.8	---	764.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.089	0.000	6.5	87	4.5	6.5	---	0.00	232	1	100.0	10
07/06/16	1:30	5.4	5.6	5.4	89	3.8	3.6	SW	2.15	5.8	WSW	2.7	5.4	2.6	---	764.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.090	0.000	6.4	87	4.4	6.4	---	0.00	234	1	100.0	10
07/06/16	1:40	5.3	5.4	5.3	90	3.8	2.7	SW	1.61	5.8	SW	3.1	5.3	3.1	---	764.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.090	0.000	6.3	87	4.3	6.3	---	0.00	234	1	100.0	10
07/06/16	1:50	5.3	5.3	5.3	90	3.8	2.7	SW	1.61	5.4	S	3.1	5.3	3.1	---	765.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.090	0.000	6.3	87	4.3	6.3	---	0.00	234	1	100.0	10
07/06/16	2:00	5.2	5.3	5.2	90	3.7	2.2	SW	1.34	4.9	S	3.4	5.2	3.3	---	764.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.091	0.000	6.2	87	4.2	6.2	---	0.03	232	1	100.0	10
07/06/16	2:10	5.1	5.2	5.1	90	3.6	1.8	SW	1.07	4.9	WSW	3.7	5.0	3.6	---	764.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.092	0.000	6.2	87	4.2	6.2	---	0.00	233	1	100.0	10
07/06/16	2:20	5.0	5.1	5.0	91	3.7	1.8	SW	1.07	4.0	SW	3.6	4.9	3.6	---	764.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.093	0.000	6.2	87	4.2	6.1	---	0.00	234	1	100.0	10
07/06/16	2:30	4.9	5.0	4.9	91	3.6	2.2	SW	1.34	4.5	SW	3.1	4.9	3.0	---	764.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.093	0.000	6.1	87	4.1	6.1	---	0.00	231	1	100.0	10
07/06/16	2:40	4.8	4.9	4.8	91	3.4	2.7	SW	1.61	4.9	SSW	2.5	4.7	2.4	---	764.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.094	0.000	6.0	87	4.0	5.9	---	0.00	235	1	100.0	10
07/06/16	2:50	4.7	4.8	4.7	91	3.4	1.8	SW	1.07	4.9	WSW	3.3	4.7	3.2	---	764.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.095	0.000	6.0	87	4.0	5.9	---	0.00	234	1	100.0	10
07/06/16	3:00	4.7	4.7	4.7	91	3.4	1.8	SW	1.07	4.9	SW	3.3	4.7	3.2	---	764.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.095	0.000	5.9	87	3.9	5.9	---	0.00	234	1	100.0	10
07/06/16	3:10	4.6	4.7	4.6	91	3.3	0.4	S	0.27	2.2	S	4.6	4.6	4.6	---	764.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.095	0.000	5.8	87	3.8	5.8	---	0.00	234	1	100.0	10
07/06/16	3:20	4.6	4.6	4.6	91	3.3	0.9	SSE	0.54	4.0	ESE	4.5	4.6	4.4	---	764.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.095	0.000	5.8	87	3.8	5.8	---	0.00	234	1	100.0	10
07/06/16	3:30	4.4	4.6	4.4	91	3.1	0.4	SW	0.27	3.1	SE	4.4	4.4	4.4	---	764.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.096	0.000	5.8	87	3.8	5.7	---	0.00	234	1	100.0	10
07/06/16	3:40	4.4	4.4	4.4	91	3.1	0.4	SSE	0.27	2.2	SSW	4.4	4.4	4.4	---	764.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.096	0.000	5.7	87	3.7	5.6	---	0.00	234	1	100.0	10
07/06/16	3:50	4.4	4.5	4.4	91	3.1	0.9	SSW	0.54	3.1	SW	4.3	4.4	4.3	---	764.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.096	0.000	5.6	87	3.6	5.6	---	0.00	235	1	100.0	10
07/06/16	4:00	4.5	4.5	4.4	91	3.2	0.9	SW	0.54	2.7	SSW	4.4	4.4	4.3	---	764.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.096	0.000	5.6	88	3.8	5.6	---	0.00	234	1	100.0	10
07/06/16	4:10	4.4	4.5	4.4	91	3.1	0.9	SW	0.54	3.1	S	4.3	4.4	4.3	---	764.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.096	0.000	5.6	88	3.7	5.5	---	0.00	232	1	100.0	10
07/06/16	4:20	4.4	4.5	4.4	91	3.1	1.3	SW	0.80	2.7	SE	3.6	4.4	3.5	---	764.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.096	0.000	5.6	88	3.7	5.5	---	0.00	233	1	100.0	10
07/06/16	4:30	4.4	4.4	4.4	91	3.0	1.3	SW	0.80	4.0	WSW	3.5	4.3	3.4	---	764.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.097	0.000	5.4	88	3.6	5.4	---	0.00	211	1	92.5	10
07/06/16	4:40	4.4	4.4	4.4	91	3.1	1.8	SW	1.07	3.6	SW	2.9	4.4	2.9	---	764.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.096	0.000	5.4	88	3.6	5.4	---	0.00	233	1	100.0	10
07/06/16	4:50	4.4	4.4	4.4	91	3.1	1.8	SW	1.07	4.0	SW	2.9	4.4	2.9	---	764.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.096	0.000	5.4	88	3.6	5.3	---	0.00	234	1	100.0	10
07/06/16	5:00	4.6	4.6	4.4	91	3.3	2.7	SW	1.61	5.8	SW	2.3	4.6	2.2	---	764.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.095	0.000	5.4	88	3.6	5.3	---	0.00	235	1	100.0	10
07/06/16	5:10	4.8	4.8	4.6	91	3.5	3.6	SW	2.15	6.3	SSW	1.9	4.8	1.8	---	764.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.094	0.000	5.4	88	3.6	5.3	---	0.00	234	1	100.0	10
07/06/16	5:20	4.8	4.9	4.8	90	3.3	3.1	SW	1.88	6.7	WSW	2.2	4.8	2.1	---	764.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.094	0.000	5.4	88	3.6	5.3	---	0.00	234	1	100.0	10
07/06/16	5:30	4.8	4.9	4.8	90	3.3	3.1	SW	1.88	5.4	WSW	2.2	4.8	2.1	---	764.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.094	0.000	5.4	88	3.6	5.3	---	0.00	234	1	100.0	10
07/06/16	5:40	4.8	4.8	4.8	90	3.3	3.1	SW	1.88	5.4	SW	2.2	4.8	2.1	---	764.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.094	0.000	5.3	88	3.5	5.2	---	0.00	234	1	100.0	10
07/06/16	5:50	4.8	4.9	4.8	90	3.3	3.6	WSW	2.15	5.8	SW	1.9	4.8	1.8	---	764.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.094	0.000	5.3	88	3.5	5.2	---	0.00	234	1	100.0	10
07/06/16	6:00	4.7	4.8	4.7	90	3.2	3.6	WSW	2.15	5.8	WSW	1.7	4.6	1.7	---	764.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.095	0.000	5.3	88	3.5	5.2	---	0.03	234	1	100.0	10
07/06/16	6:10	4.7	4.7	4.6	90	3.2	3.6	WSW	2.15	5.8	WSW	1.7	4.6	1.7	---	764.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.095	0.000	5.3	89	3.6	5.2	---	0.00	234	1	100.0	10
07/06/16	6:20	4.6	4.7	4.6	90	3.1	3.6	WSW	2.15	6.3	SW	1.6	4.5	1.5	---	764.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.096	0.000	5.3	89	3.6	5.2	---	0.00	232	1	100.0	10
07/06/16	6:30	4.5	4.6	4.5	90	3.0	3.6	SW	2.15	6.3	SW	1.5	4.4	1.4	---	764.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.096	0.000	5.2	89	3.6	5.2	---	0.00	233	1	100.0	10
07/06/16	6:40	4.3	4.5	4.3	91	3.0	3.6	WSW	2.15	6.3	SSW	1.3	4.3	1.2	---	764.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.097	0.000	5.2	89	3.6	5.2	---	0.00	233	1	100.0	10
07/06/16	6:50	4.4	4.4	4.3	91	3.1	4.0	WSW	2.41	7.2	WSW	1.2	4.4	1.1	---	764.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.096	0.000	5.2	89	3.6	5.2	---	0.00	233	1	100.0	10
07/06/16	7:00	4.6	4.6	4.4	91	3.2	4.0	SW	2.41	6.7	WSW	1.3	4.5	1.2	---	764.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.096	0.000	5.2	89	3.6	5.2	---	0.03	233	1	100.0	10
07/06/16	7:10	4.7	4.7	4.6	91	3.3	4.0	WSW	2.41	7.2	WSW	1.4	4.6	1.4	---	764.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.095	0.000	5.2	89	3.6	5.2	---	0.00	235	1	100.0	10
07/06/16	7:20	4.6	4.7	4.6	91	3.3	3.6	WSW	2.15	5.8	SW	1.7	4.6	1.6	---	764.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.095	0.000	5.2	89	3.6	5.2	---	0.00	232	1	100.0	10
07/06/16	7:30	4.6	4.6	4.6	91	3.3	3.6	WSW	2.15	6.3	SW	1.7	4.6	1.6	---	764.4	0.00	0.0	4	0.06	7	0.0	0.00	0.0	0.095	0.000	5.1	89	3.4	5.1	---	0.00	234	1	100.0	10
07/06/16	7:40	4.7	4.7	4.6	91	3.3	3.1	WSW	1.88	5.8	WSW	2.0	4.6	1.9	---	764.6	0.00	0.0	10	0.14	12	0.0	0.00	0.0	0.095	0.000	5.1	89	3.4	5.1	---	0.00	234	1	100.0	10
07/06/16	7:50	4.8	4.8	4.7	91	3.5	4.0	WSW	2.41	7.2	WSW	1.6	4.8	1.6	---	764.6	0.00	0.0	20	0.29	30	0.0	0.00	0.0	0.094	0.000	5.1	89	3.4	5.1	---	0.00	233	1	100.0	10
07/06/16	8:00	5.0	5.0	4.8	91	3.7	4.9	WSW	2.95	8.0	SW	1.3	4.9	1.3	---	764.6	0.25	0.0	41	0.59	51	0.0	0.00	0.0	0.093	0.000	5.1	89	3.4	5.1	---	0.03	232	1	100.0	10
07/06/16	8:10	5.0	5.0	4.9	91	3.7	4.5	WSW	2.68	7.6	SW	1.6	4.9	1.5	---	764.8	0.00	0.0	64	0.92	77	0.0	0.00	0.0	0.093	0.000	5.2	89	3.6	5.2	---	0.00	233	1	100.0	10
07/06/16	8:20	5.1	5.1	5.0	91	3.8	4.5	WSW	2.68	7.2	WSW	1.7	5.1	1.7	---	764.8	0.00	0.0	90	1.29	105	0.0	0.00	0.0	0.092	0.000	5.2	90	3.7	5.2	---	0.00	234	1	100.0	10
07/06/16	8:30	5.3	5.3	5.1	91	3.9	4.0	WSW	2.41	7.6	SW	2.2	5.3	2.2	---	764.8	0.00	0.0	131	1.88	156	0.0	0.00	0.0	0.091	0.000	5.3	90	3.8	5.3	---	0.00	234	1	100.0	10
