;0LX;0RX;0LY;0RY
0;98.0;121.0;76.71541595458984;76.71541595458984
1;89.0;115.0;76.71541595458984;76.71541595458984
2;89.0;118.0;76.71541595458984;76.71541595458984
3;91.0;113.0;76.71541595458984;76.71541595458984
4;84.0;114.0;76.71541595458984;76.71541595458984
5;95.0;121.0;76.71541595458984;76.71541595458984
6;97.0;119.0;76.71541595458984;76.71541595458984
7;94.0;105.0;76.71541595458984;76.71541595458984
8;82.0;137.0;76.71541595458984;76.71541595458984
9;105.0;110.0;76.71541595458984;76.71541595458984
10;101.0;125.0;76.71541595458984;76.71541595458984
11;84.0;132.0;76.71541595458984;76.71541595458984
12;86.0;111.0;76.71541595458984;76.71541595458984
13;98.0;108.0;76.71541595458984;76.71541595458984
14;82.0;114.0;76.71541595458984;76.71541595458984
15;92.0;130.0;76.71541595458984;76.71541595458984
16;76.0;129.0;76.71541595458984;76.71541595458984
17;66.0;106.0;76.71541595458984;76.71541595458984
18;97.0;124.0;76.71541595458984;76.71541595458984
19;72.0;127.0;76.71541595458984;76.71541595458984
20;92.0;108.0;76.71541595458984;76.71541595458984
21;107.0;121.0;76.71541595458984;76.71541595458984
22;89.0;114.0;76.71541595458984;76.71541595458984
23;100.0;122.0;76.71541595458984;76.71541595458984
24;102.0;119.0;76.71541595458984;76.71541595458984
25;89.0;113.0;76.71541595458984;76.71541595458984
26;94.0;111.0;76.71541595458984;76.71541595458984
27;105.0;102.0;76.71541595458984;76.71541595458984
28;86.0;111.0;76.71541595458984;76.71541595458984
29;90.0;121.0;76.71541595458984;76.71541595458984
30;94.0;111.0;76.71541595458984;76.71541595458984
31;97.0;135.0;76.71541595458984;76.71541595458984
32;91.0;132.0;76.71541595458984;76.71541595458984
33;76.0;102.0;76.71541595458984;76.71541595458984
34;87.0;130.0;76.71541595458984;76.71541595458984
35;112.0;130.0;76.71541595458984;76.71541595458984
36;100.0;109.0;76.71541595458984;76.71541595458984
37;85.0;97.0;76.71541595458984;76.71541595458984
38;68.0;125.0;76.71541595458984;76.71541595458984
39;94.0;128.0;76.71541595458984;76.71541595458984
40;78.0;116.0;76.71541595458984;76.71541595458984
41;82.0;122.0;76.71541595458984;76.71541595458984
42;92.0;117.0;76.71541595458984;76.71541595458984
43;95.0;117.0;76.71541595458984;76.71541595458984
44;85.0;106.0;76.71541595458984;76.71541595458984
45;81.0;104.0;76.71541595458984;76.71541595458984
46;83.0;119.0;76.71541595458984;76.71541595458984
47;74.0;116.0;76.71541595458984;76.71541595458984
48;92.0;109.0;76.71541595458984;76.71541595458984
49;76.0;120.0;76.71541595458984;76.71541595458984
50;87.0;94.0;76.71541595458984;76.71541595458984
51;89.0;125.0;76.71541595458984;76.71541595458984
52;90.0;118.0;76.71541595458984;76.71541595458984
53;100.0;96.0;76.71541595458984;76.71541595458984
54;87.0;135.0;76.71541595458984;76.71541595458984
55;108.0;125.0;76.71541595458984;76.71541595458984
56;103.0;113.0;76.71541595458984;76.71541595458984
57;95.0;129.0;76.71541595458984;76.71541595458984
58;90.0;127.0;76.71541595458984;76.71541595458984
59;86.0;106.0;76.71541595458984;76.71541595458984
60;77.0;116.0;76.71541595458984;76.71541595458984
61;98.0;106.0;76.71541595458984;76.71541595458984
62;95.0;116.0;76.71541595458984;76.71541595458984
63;97.0;111.0;76.71541595458984;76.71541595458984
64;94.0;150.0;76.71541595458984;76.71541595458984
65;79.0;109.0;76.71541595458984;76.71541595458984
66;98.0;107.0;76.71541595458984;76.71541595458984
67;92.0;109.0;76.71541595458984;76.71541595458984
68;89.0;100.0;76.71541595458984;76.71541595458984
69;100.0;125.0;76.71541595458984;76.71541595458984
70;84.0;131.0;76.71541595458984;76.71541595458984
71;102.0;119.0;76.71541595458984;76.71541595458984
72;105.0;126.0;76.71541595458984;76.71541595458984
73;71.0;122.0;76.71541595458984;76.71541595458984
74;97.0;135.0;76.71541595458984;76.71541595458984
75;99.0;141.0;76.71541595458984;76.71541595458984
76;97.0;118.0;76.71541595458984;76.71541595458984
77;96.0;121.0;76.71541595458984;76.71541595458984
78;95.0;126.0;76.71541595458984;76.71541595458984
79;89.0;117.0;76.71541595458984;76.71541595458984
80;74.0;113.0;76.71541595458984;76.71541595458984
81;93.0;141.0;76.71541595458984;76.71541595458984
82;104.0;127.0;76.71541595458984;76.71541595458984
83;90.0;115.0;76.71541595458984;76.71541595458984
84;74.0;116.0;76.71541595458984;76.71541595458984
85;89.0;132.0;76.71541595458984;76.71541595458984
86;92.0;89.0;76.71541595458984;76.71541595458984
87;102.0;103.0;76.71541595458984;76.71541595458984
88;97.0;113.0;76.71541595458984;76.71541595458984
89;96.0;133.0;76.71541595458984;76.71541595458984
90;81.0;98.0;76.71541595458984;76.71541595458984
91;97.0;124.0;76.71541595458984;76.71541595458984
92;95.0;117.0;76.71541595458984;76.71541595458984
93;97.0;104.0;76.71541595458984;76.71541595458984
94;94.0;130.0;76.71541595458984;76.71541595458984
95;92.0;127.0;76.71541595458984;76.71541595458984
96;88.0;107.0;76.71541595458984;76.71541595458984
97;99.0;132.0;76.71541595458984;76.71541595458984
98;88.0;105.0;76.71541595458984;76.71541595458984
99;83.0;120.0;76.71541595458984;76.71541595458984
100;106.0;130.0;76.71541595458984;76.71541595458984
101;100.0;114.0;76.71541595458984;76.71541595458984
102;97.0;126.0;76.71541595458984;76.71541595458984
103;105.0;116.0;76.71541595458984;76.71541595458984
104;112.0;128.0;76.71541595458984;76.71541595458984
105;96.0;113.0;76.71541595458984;76.71541595458984
106;99.0;111.0;76.71541595458984;76.71541595458984
107;114.0;128.0;76.71541595458984;76.71541595458984
108;99.0;117.0;76.71541595458984;76.71541595458984
109;81.0;118.0;76.71541595458984;76.71541595458984
110;95.0;113.0;76.71541595458984;76.71541595458984
111;89.0;119.0;76.71541595458984;76.71541595458984
112;96.0;124.0;76.71541595458984;76.71541595458984
113;77.0;109.0;76.71541595458984;76.71541595458984
114;85.0;113.0;76.71541595458984;76.71541595458984
115;87.0;121.0;76.71541595458984;76.71541595458984
116;84.0;117.0;76.71541595458984;76.71541595458984
117;87.0;113.0;76.71541595458984;76.71541595458984
118;77.0;119.0;76.71541595458984;76.71541595458984
119;112.0;131.0;76.71541595458984;76.71541595458984
120;90.0;109.0;76.71541595458984;76.71541595458984
121;73.0;123.0;76.71541595458984;76.71541595458984
122;114.0;110.0;76.71541595458984;76.71541595458984
123;87.0;127.0;76.71541595458984;76.71541595458984
124;82.0;99.0;76.71541595458984;76.71541595458984
125;85.0;117.0;76.71541595458984;76.71541595458984
126;84.0;122.0;76.71541595458984;76.71541595458984
127;97.0;112.0;76.71541595458984;76.71541595458984
128;101.0;111.0;76.71541595458984;76.71541595458984
129;105.0;101.0;76.71541595458984;76.71541595458984
130;92.0;111.0;76.71541595458984;76.71541595458984
131;87.0;121.0;76.71541595458984;76.71541595458984
132;87.0;134.0;76.71541595458984;76.71541595458984
133;72.0;104.0;76.71541595458984;76.71541595458984
134;86.0;104.0;76.71541595458984;76.71541595458984
135;101.0;112.0;76.71541595458984;76.71541595458984
136;120.0;119.0;76.71541595458984;76.71541595458984
137;100.0;130.0;76.71541595458984;76.71541595458984
138;86.0;102.0;76.71541595458984;76.71541595458984
139;116.0;107.0;76.71541595458984;76.71541595458984
140;97.0;135.0;76.71541595458984;76.71541595458984
141;92.0;103.0;76.71541595458984;76.71541595458984
142;86.0;98.0;76.71541595458984;76.71541595458984
143;97.0;129.0;76.71541595458984;76.71541595458984
144;89.0;113.0;76.71541595458984;76.71541595458984
145;85.0;111.0;76.71541595458984;76.71541595458984
146;103.0;100.0;76.71541595458984;76.71541595458984
147;106.0;111.0;76.71541595458984;76.71541595458984
